id;karte;frage;ziel;latitude;longitude;info
1;Deutschland;Wo wurde Angela Merkel 1954 geboren?;Hamburg;53.5511;9.9937;Angela Merkel wurde 1954 in Hamburg geboren, zog aber kurz darauf in die DDR.
2;Deutschland;Wo steht die berühmte Frauenkirche mit ihren markanten Kuppeln?;Dresden;51.0519;13.7415;Die Frauenkirche wurde im Zweiten Weltkrieg zerstört und später prachtvoll wiederaufgebaut.
3;Deutschland;Wo steht das weltberühmte Holstentor?;Lübeck;53.8662;10.6797;Das Holstentor ist das Wahrzeichen der Hansestadt Lübeck und war früher auf dem 50-DM-Schein.
4;Deutschland;Wo liegt im Harz der höchste Berg im Norden Deutschlands?;Brocken;51.7991;10.6156;Der Brocken ist mit 1141 Metern der höchste Berg im Norden Deutschlands.
5;Deutschland;Wo mündet die Weser direkt in die Nordsee?;Bremerhaven;53.5414;8.5839;Bremerhaven bildet zusammen mit Bremen das kleinste deutsche Bundesland.
6;Deutschland;Wo befindet sich das berühmte Felsental Bastei in der Sächsischen Schweiz?;Bastei;50.9622;14.0725;Die Bastei bietet eine atemberaubende Aussicht auf das Elbtal.
7;Deutschland;Wo liegt der Chiemsee mit dem Schloss Herrenchiemsee?;Chiemsee;47.8821;12.4286;König Ludwig II. baute das Schloss nach dem Vorbild von Versailles.
8;Deutschland;Wo befindet sich der größte Freizeitpark Deutschlands (Europa-Park)?;Rust (Baden);48.2681;7.7217;Er liegt im Dreiländereck nahe Freiburg im Breisgau.
9;Deutschland;Wo befindet sich die älteste Universität Deutschlands?;Heidelberg;49.4076;8.6908;Die Ruperto Carola wurde bereits im Jahr 1386 gegründet.
10;Deutschland;Wo liegt das waldreiche Mittelgebirge mit Kuckucksuhren und Bollenhüten?;Schwarzwald;48.3000;8.1500;Bekannt für Kuckucksuhren, Bollenhüte und die Schwarzwälder Kirschtorte.
11;Deutschland;Wo wurde der Komponist Ludwig van Beethoven geboren?;Bonn;50.7374;7.0982;Bonn war zudem von 1949 bis 1990 die Bundeshauptstadt.
12;Deutschland;Wo steht der berühmte Kreidefelsen Königsstuhl auf Rügen?;Königsstuhl Rügen;54.5731;13.6583;Der Königsstuhl ist der markanteste Punkt der Kreideküste.
13;Deutschland;Wo befindet sich der größte Seehafen Deutschlands an der Elbe?;Hamburg;53.5458;9.9664;Der Hamburger Hafen ist der größte Seehafen Deutschlands.
14;Deutschland;Wo steht das imposante Völkerschlachtdenkmal von 1813?;Leipzig;51.3124;12.4133;Es erinnert an die Völkerschlacht gegen Napoleon im Jahr 1813.
15;Deutschland;Wo liegt die Frankenmetropole, die für Lebkuchen und den Christkindlesmarkt bekannt ist?;Nürnberg;49.4521;11.0767;Der Nürnberger Christkindlesmarkt zieht jährlich Millionen Besucher an.
16;Deutschland;Wo ragt der höchste Berg Deutschlands 2962 Meter empor?;Zugspitze;47.4211;10.9853;Die Zugspitze misst stolze 2962 Meter über dem Meeresspiegel.
17;Deutschland;Wo fließt der Rhein direkt am berühmten Dom vorbei?;Köln;50.9413;6.9583;Der Rhein ist eine der verkehrsreichsten Wasserstraßen der Welt.
18;Deutschland;Wo steht das Bronze-Denkmal der vier weltberühmten Stadtmusikanten?;Bremen;53.0761;8.8071;Die Bronzeplastik steht direkt an der Westseite des Rathauses.
19;Deutschland;Wo liegt das Gebirge mit dem Kyffhäuser-Denkmal?;Kyffhäusergebirge;51.4128;11.1097;Es liegt an der Grenze zwischen Thüringen und Sachsen-Anhalt.
20;Deutschland;Wo befindet sich der größte rein deutsche See?;Müritz;53.4167;12.6833;Hier befindet sich auch die Müritz, der größte rein deutsche See.
21;Deutschland;Wo fährt die weltberühmte historische Schwebebahn über den Fluss?;Wuppertal;51.2562;7.1508;Die historische Hochbahn steht seit 1997 unter Denkmalschutz.
22;Deutschland;Wo ragt der sagenumwobene Loreley-Felsen im Mittelrheintal empor?;Loreley;50.1394;7.7289;Der Sage nach verzauberte eine Nixe dort die Schiffer mit ihrem Gesang.
23;Deutschland;Wo liegt die Autostadt des VW-Konzerns?;Wolfsburg;52.4227;10.7865;Die Stadt wurde 1938 eigens für das Volkswagenwerk gegründet.
